Item #,Product Name,Additional Description,Thickness,SheetCount,Features,Product Color,Additional Product Color,Additional Product Color2,Imprint options,Imprint_Options_2,Location1,Location2  ,Location3,Location4,Point Style_1,Ink_Color_1,Point Style_2,Ink_Color_2,Ink_Options,Pricing Info,Production time,Imprint Info,Product Dimensions,US  Patent,Recycle  Info,Shipping  Info,Pack Qty,Pack Weight,Icons,Page Number
P2M3A50,"2 3/4"" x 3"" Adhesive Notepads ",50 sheet pad,,50,FREE flood coats|No charge for bleeds|Always in stock,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.  See diagram for imprint area.",,"4CP: 2 3/8""W x 2 5/8""H ",,,,,,,,,"When ordering between quantity breaks, orders must be placed  in 500-piece increments.",5 working days,,"2 3/4"" x 3""  ",,,,125,8 lbs (approx.),USA ^24,116
P2M3A50ECO,"2 3/4"" x 3"" Adhesive Notepads with Recycled Content option",50 sheet pad,,50,FREE flood coats|No charge for bleeds|Always in stock|Contains 30% Post-Consumer Recycled Fiber!,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.  See diagram for imprint area.",,"4CP: 2 3/8""W x 2 5/8""H ",,,,,,,,,"When ordering between quantity breaks, orders must be placed  in 500-piece increments.",5 working days,,"2 3/4"" x 3""  ",,,,125,8 lbs (approx.),USA ^24 ^ECO,116
P3A3A100,"3"" x 3"" Adhesive Notepads ",100 sheet pad,,100,FREE phantom imprints create visual interest!|Change the paper color with a FREE flood coat|No charge for bleeds|Always in stock,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",,"4CP: 2 5/8""W x 2 5/8""H",,,,,,,,,"When ordering between quantity breaks, orders must be placed  in 500-piece increments.",5 working days,,"3"" x 3""  ",,,,60,8 lbs (approx.),USA ^24,117
P3A3A100ECO,"BIC Ecolutions 3"" x 3"" Adhesive Notepads",100 sheet pad,,100,4-color process imprinting provides endless possibilities!|Add color with a FREE flood coat|No charge for bleeds|Add the Mobius loop to your artwork at no additional charge!,,,,"4-Color Process (4CP): Price includes a free 4-color-process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",,"4CP: 2 5/8""W x 2 5/8""H",,,,,,,,,"When ordering between quantity breaks, please place orders  in 500-piece increments.",5 working days.,,"3"" x 3"" ",,*Made with paper stock containing 30% post-consumer recycled fiber.,,60,8 lbs (approx.),USA ^24 ^ECO,185
P3A3A25,"3"" x 3"" Adhesive Notepads ",25 sheet pad,,25,FREE phantom imprints create visual interest!|Change the paper color with a FREE flood coat|No charge for bleeds|Always in stock,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",,"4CP: 2 5/8""W x 2 5/8""H",,,,,,,,,"When ordering between quantity breaks, orders must be placed  in 500-piece increments.",5 working days,,"3"" x 3""  ",,,,250,9 lbs (approx.),USA ^24,117
P3A3A25ECO,"BIC Ecolutions 3"" x 3"" Adhesive Notepads",25 sheet pad,,25,4-color process imprinting provides endless possibilities!|Add color with a FREE flood coat|No charge for bleeds|Add the Mobius loop to your artwork at no additional charge!,,,,"4-Color Process (4CP): Price includes a free 4-color-process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",,"4CP: 2 5/8""W x 2 5/8""H",,,,,,,,,"When ordering between quantity breaks, please place orders  in 500-piece increments.",5 working days.,,"3"" x 3"" ",,*Made with paper stock containing 30% post-consumer recycled fiber.,,250,9 lbs (approx.),USA ^24 ^ECO,185
P3A3A50,"3"" x 3"" Adhesive Notepads ",50 sheet pad,,50,FREE phantom imprints create visual interest!|Change the paper color with a FREE flood coat|No charge for bleeds|Always in stock,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",,"4CP: 2 5/8""W x 2 5/8""H",,,,,,,,,"When ordering between quantity breaks, orders must be placed  in 500-piece increments.",5 working days,,"3"" x 3""  ",,,,125,8 lbs (approx.),USA ^24,117
P3A3A50ECO,"BIC Ecolutions 3"" x 3"" Adhesive Notepads",50 sheet pad,,50,4-color process imprinting provides endless possibilities!|Add color with a FREE flood coat|No charge for bleeds|Add the Mobius loop to your artwork at no additional charge!,,,,"4-Color Process (4CP): Price includes a free 4-color-process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",,"4CP: 2 5/8""W x 2 5/8""H",,,,,,,,,"When ordering between quantity breaks, please place orders  in 500-piece increments.",5 working days.,,"3"" x 3"" ",,*Made with paper stock containing 30% post-consumer recycled fiber.,,125,8 lbs (approx.),USA ^24 ^ECO,185
P3A8A25,"3"" x 8"" Adhesive Notepads ",25 sheet pad,,25,"The perfect pad for lists and notes|Ruled lines are FREE!|Add a magnet to the back of your 3"" x 8"" notepad for the ultimate convenience|Always in stock",,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",,"4CP: 2 5/8""W x 2 5/8""H",,,,,,,,,"When ordering between quantity breaks, orders must be placed  in 500-piece increments.",Production Time: 5 working days. Allow 2 additional working days when adding a magnet to the back of the 3 x 8 notepad.,,"3"" x 8""  ",,,,125,12 lbs (approx.),USA ^24,120
P3A8A25ECO,"3"" x 8"" Adhesive Notepads with Recycled Content option",25 sheet pad,,25,"The perfect pad for lists and notes|Ruled lines are FREE!|Add a magnet to the back of your 3"" x 8"" notepad for the ultimate convenience|Always in stock|Contains 30% Post-Consumer Recycled Fiber!",,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",,"4CP: 2 5/8""W x 2 5/8""H",,,,,,,,,"When ordering between quantity breaks, orders must be placed  in 500-piece increments.",Production Time: 5 working days. Allow 2 additional working days when adding a magnet to the back of the 3 x 8 notepad.,,"3"" x 8""  ",,,,125,12 lbs (approx.),USA ^24 ^ECO,120
P3A8A50,"3"" x 8"" Adhesive Notepads ",50 sheet pad,,50,"The perfect pad for lists and notes|Ruled lines are FREE!|Add a magnet to the back of your 3"" x 8"" notepad for the ultimate convenience|Always in stock",,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",,"4CP: 2 5/8""W x 2 5/8""H",,,,,,,,,"When ordering between quantity breaks, orders must be placed  in 500-piece increments.",Production Time: 5 working days. Allow 2 additional working days when adding a magnet to the back of the 3 x 8 notepad.,,"3"" x 8""  ",,,,60,11 lbs (approx.),USA ^24,120
P3A8A50ECO,"3"" x 8"" Adhesive Notepads with Recycled Content option",50 sheet pad,,50,"The perfect pad for lists and notes|Ruled lines are FREE!|Add a magnet to the back of your 3"" x 8"" notepad for the ultimate convenience|Always in stock|Contains 30% Post-Consumer Recycled Fiber!",,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",,"4CP: 2 5/8""W x 2 5/8""H",,,,,,,,,"When ordering between quantity breaks, orders must be placed  in 500-piece increments.",Production Time: 5 working days. Allow 2 additional working days when adding a magnet to the back of the 3 x 8 notepad.,,"3"" x 8""  ",,,,60,11 lbs (approx.),USA ^24 ^ECO,120
P4A3A100,"4"" x 3"" Adhesive Notepads ",100 sheet pad,,100,4-color process imprinting provides endless possibilities!|Add color with a FREE flood coat|Always in stock,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",,"4CP: 3 5/8""W x 2 5/8""H",,,,,,,,,"When ordering between quantity breaks, orders must be placed  in 500-piece increments.",5 working days,,"4"" x 3""  ",,,,60,10 lbs (approx.),USA ^24,119
P4A3A100ECO,"BIC Ecolutions 4"" x 3"" Adhesive Notepads",100 sheet pad,,100,4-color process imprinting provides endless possibilities!|Add color with a FREE flood coat|No charge for bleeds|Add the Mobius loop to your artwork at no additional charge!,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",,"4CP: 3 5/8""W x 2 5/8""H",,,,,,,,,"When ordering between quantity breaks, please place orders  in 500-piece increments.",5 working days.,,"4"" x 3"" ",,*Made with paper stock containing 30% post-consumer recycled fiber.,,60,10 lbs (approx.),USA ^24 ^ECO,186
P4A3A25,"4"" x 3"" Adhesive Notepads ",25 sheet pad,,25,4-color process imprinting provides endless possibilities!|Add color with a FREE flood coat|Always in stock,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",,"4CP: 3 5/8""W x 2 5/8""H",,,,,,,,,"When ordering between quantity breaks, orders must be placed  in 500-piece increments.",5 working days,,"4"" x 3""  ",,,,250,11 lbs (approx.),USA ^24,119
P4A3A25ECO,"BIC Ecolutions 4"" x 3"" Adhesive Notepads",25 sheet pad,,25,4-color process imprinting provides endless possibilities!|Add color with a FREE flood coat|No charge for bleeds|Add the Mobius loop to your artwork at no additional charge!,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",,"4CP: 3 5/8""W x 2 5/8""H",,,,,,,,,"When ordering between quantity breaks, please place orders  in 500-piece increments.",5 working days.,,"4"" x 3"" ",,*Made with paper stock containing 30% post-consumer recycled fiber.,,250,11 lbs (approx.),USA ^24 ^ECO,186
P4A3A50,"4"" x 3"" Adhesive Notepads ",50 sheet pad,,50,4-color process imprinting provides endless possibilities!|Add color with a FREE flood coat|Always in stock,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",,"4CP: 3 5/8""W x 2 5/8""H",,,,,,,,,"When ordering between quantity breaks, orders must be placed  in 500-piece increments.",5 working days,,"4"" x 3""  ",,,,125,11 lbs (approx.),USA ^24,119
P4A3A50ECO,"BIC Ecolutions 4"" x 3"" Adhesive Notepads",50 sheet pad,,50,4-color process imprinting provides endless possibilities!|Add color with a FREE flood coat|No charge for bleeds|Add the Mobius loop to your artwork at no additional charge!,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",,"4CP: 3 5/8""W x 2 5/8""H",,,,,,,,,"When ordering between quantity breaks, please place orders  in 500-piece increments.",5 working days.,,"4"" x 3"" ",,*Made with paper stock containing 30% post-consumer recycled fiber.,,125,11 lbs (approx.),USA ^24 ^ECO,186
P4A4A100,"4"" x 4"" Adhesive Notepads ",100 sheet pad,,100,No charge for bleeds!|Vibrant 4-color process imprint FREE!|Always in stock,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.  See diagram for imprint area",,"4CP: 3 5/8""W x 3 5/8""H",,,,,,,,,"When ordering between quantity breaks, orders must be placed  in 500-piece increments.",5 working days,,"4"" x 4""  ",,,,378,22 lbs (approx.),USA ^24,120
P4A4A100ECO,"4"" x 4"" Adhesive Notepads with Recycled Content option",100 sheet pad,,100,No charge for bleeds!|Vibrant 4-color process imprint FREE!|Always in stock|Contains 30% Post-Consumer Recycled Fiber!,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.  See diagram for imprint area",,"4CP: 3 5/8""W x 3 5/8""H",,,,,,,,,"When ordering between quantity breaks, orders must be placed  in 500-piece increments.",5 working days,,"4"" x 4""  ",,,,378,22 lbs (approx.),USA ^24 ^ECO,120
P4A4A25,"4"" x 4"" Adhesive Notepads ",25 sheet pad,,25,No charge for bleeds!|Vibrant 4-color process imprint FREE!|Always in stock,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.  See diagram for imprint area",,"4CP: 3 5/8""W x 3 5/8""H",,,,,,,,,"When ordering between quantity breaks, orders must be placed  in 500-piece increments.",5 working days,,"4"" x 4""  ",,,,378,22 lbs (approx.),USA ^24,120
P4A4A25ECO,"4"" x 4"" Adhesive Notepads with Recycled Content option",25 sheet pad,,25,No charge for bleeds!|Vibrant 4-color process imprint FREE!|Always in stock|Contains 30% Post-Consumer Recycled Fiber!,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.  See diagram for imprint area",,"4CP: 3 5/8""W x 3 5/8""H",,,,,,,,,"When ordering between quantity breaks, orders must be placed  in 500-piece increments.",5 working days,,"4"" x 4""  ",,,,378,22 lbs (approx.),USA ^24 ^ECO,120
P4A4A50,"4"" x 4"" Adhesive Notepads ",50 sheet pad,,50,No charge for bleeds!|Vibrant 4-color process imprint FREE!|Always in stock,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.  See diagram for imprint area",,"4CP: 3 5/8""W x 3 5/8""H",,,,,,,,,"When ordering between quantity breaks, orders must be placed  in 500-piece increments.",5 working days,,"4"" x 4""  ",,,,378,22 lbs (approx.),USA ^24,120
P4A4A50ECO,"4"" x 4"" Adhesive Notepads with Recycled Content option",50 sheet pad,,50,No charge for bleeds!|Vibrant 4-color process imprint FREE!|Always in stock|Contains 30% Post-Consumer Recycled Fiber!,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.  See diagram for imprint area",,"4CP: 3 5/8""W x 3 5/8""H",,,,,,,,,"When ordering between quantity breaks, orders must be placed  in 500-piece increments.",5 working days,,"4"" x 4""  ",,,,378,22 lbs (approx.),USA ^24 ^ECO,120
P4A6A100,"4"" x 6"" Adhesive Scratch Pads ",100 sheet pad,,100,No charge for bleeds!|Make a lasting impression with FREE ruled lines|Vibrant 4-color process imprint FREE!|Always in stock,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.""",,"4CP: 3 5/8""W x 5 5/8""H ",,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days,,"4"" x 6""  ",,,,60,20 lbs (approx.),USA ^24,122
P4A6A100ECO,"4"" x 6"" Adhesive Scratch Pads with Recycled Content option",100 sheet pad,,100,No charge for bleeds!|Make a lasting impression with FREE ruled lines|Vibrant 4-color process imprint FREE!|Always in stock|Contains 30% Post-Consumer Recycled Fiber!,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.""",,"4CP: 3 5/8""W x 5 5/8""H ",,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days,,"4"" x 6""  ",,,,60,20 lbs (approx.),USA ^24 ^ECO,122
P4A6A25,"4"" x 6"" Adhesive Scratch Pads ",25 sheet pad,,25,No charge for bleeds!|Make a lasting impression with FREE ruled lines|Vibrant 4-color process imprint FREE!|Always in stock,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",,,,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days,,"4"" x 6""  ",,,,250,22 lbs (approx.),USA ^24,122
P4A6A25ECO,"4"" x 6"" Adhesive Scratch Pads with Recycled Content option",25 sheet pad,,25,No charge for bleeds!|Make a lasting impression with FREE ruled lines|Vibrant 4-color process imprint FREE!|Always in stock|Contains 30% Post-Consumer Recycled Fiber!,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",,,,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days,,"4"" x 6""  ",,,,250,22 lbs (approx.),USA ^24 ^ECO,122
P4A6A50,"4"" x 6"" Adhesive Scratch Pads ",50 sheet pad,,50,No charge for bleeds!|Make a lasting impression with FREE ruled lines|Vibrant 4-color process imprint FREE!|Always in stock,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",The gray shaded area indicates the adhesive edge.,,,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days,,"4"" x 6""  ",,,,125,21 lbs (approx.),USA ^24,122
P4A6A50ECO,"4"" x 6"" Adhesive Scratch Pads with Recycled Content option",50 sheet pad,,50,No charge for bleeds!|Make a lasting impression with FREE ruled lines|Vibrant 4-color process imprint FREE!|Always in stock|Contains 30% Post-Consumer Recycled Fiber!,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",The gray shaded area indicates the adhesive edge.,,,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days,,"4"" x 6""  ",,,,125,21 lbs (approx.),USA ^24 ^ECO,122
P5A3A100,"5"" x 3"" Adhesive Notepads ",100 sheet pad,,100,Colorful flood coats are FREE!|Ruled lines are FREE!|Always in stock,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",,"4CP: 4 5/8""W x 2 5/8""H",,,,,,,,,"When ordering between quantity breaks, orders must be placed  in 500-piece increments.",5 working days,,"5"" x 3""  ",,,,60,13 lbs (approx.),USA ^24,121
P5A3A100ECO,"5"" x 3"" Adhesive Notepads with Recycled Content option",100 sheet pad,,100,Colorful flood coats are FREE!|Ruled lines are FREE!|Always in stock|Contains 30% Post-Consumer Recycled Fiber!,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",,"4CP: 4 5/8""W x 2 5/8""H",,,,,,,,,"When ordering between quantity breaks, orders must be placed  in 500-piece increments.",5 working days,,"5"" x 3""  ",,,,60,13 lbs (approx.),USA ^24 ^ECO,121
P5A3A25,"5"" x 3"" Adhesive Notepads ",25 sheet pad,,25,Colorful flood coats are FREE!|Ruled lines are FREE!|Always in stock,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",,"4CP: 4 5/8""W x 2 5/8""H",,,,,,,,,"When ordering between quantity breaks, orders must be placed  in 500-piece increments.",5 working days,,"5"" x 3""  ",,,,250,14 lbs (approx.),USA ^24,121
P5A3A25ECO,"5"" x 3"" Adhesive Notepads with Recycled Content option",25 sheet pad,,25,Colorful flood coats are FREE!|Ruled lines are FREE!|Always in stock|Contains 30% Post-Consumer Recycled Fiber!,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",,"4CP: 4 5/8""W x 2 5/8""H",,,,,,,,,"When ordering between quantity breaks, orders must be placed  in 500-piece increments.",5 working days,,"5"" x 3""  ",,,,250,14 lbs (approx.),USA ^24 ^ECO,121
P5A3A50,"5"" x 3"" Adhesive Notepads with Recycled Content option",50 sheet pad,,50,Colorful flood coats are FREE!|Ruled lines are FREE!|Always in stock,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",,"4CP: 4 5/8""W x 2 5/8""H",,,,,,,,,"When ordering between quantity breaks, orders must be placed  in 500-piece increments.",Production Time: 5 working days. Allow 2 additional working days when adding a magnet to the back of the 3 x 8 notepad.,,"4"" x 3"" Booklet",,,,250,22 lbs (approx.),USA ^24,119
P5A3A50ECO,"5"" x 3"" Adhesive Notepads with Recycled Content option",50 sheet pad,,50,Colorful flood coats are FREE!|Ruled lines are FREE!|Always in stock|Contains 30% Post-Consumer Recycled Fiber!,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com. See diagram for imprint area.",,"4CP: 4 5/8""W x 2 5/8""H",,,,,,,,,"When ordering between quantity breaks, orders must be placed  in 500-piece increments.",Production Time: 5 working days. Allow 2 additional working days when adding a magnet to the back of the 3 x 8 notepad.,,"4"" x 3"" Booklet",,,,250,22 lbs (approx.),USA ^24 ^ECO,119
PBCSM,Sticky Note&reg; Booklets with Mini Writing Instruments ,"BIC Clic Stic? Mini and 4"" x 3"" 50 sheet adhesive notepad",,50,Free 4-color process imprint on the booklet cover!|Artwork can be in a horizontal or vertical layout,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint on booklet cover (front and back).   Add $.12(C) per pad for a 4-color process notepad imprint. See page 217 for standard imprint colors on the notepad. Orders with imprinted notepads must be placed in 500 piece minimums and increments. Full bleeds available. For art templates, visit product page at www.bicgraphic.com.","BIC Clic Stic Mini: 1 1/8"" x 1/2"". Price includes a 1-color imprint located opposite clip. White barrel only. Black ink only. Trim color either black or white. Please specify on your order. If not specified, black trim will be used.",,,,,,,,,,,5 working days. Add 2 additional working days for imprinted notepads.,,"4"" x 3""",,,,100,13 lbs (approx.),,129
PBMM,Sticky Note&reg; Booklets with Mini Writing Instruments ,"BIC Digital Mini Mechanical Pencil and 4"" x 3"" 50 sheet adhesive notepad",,50,Free 4-color process imprint on the booklet cover! |Artwork can be in a horizontal or vertical layout,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint on booklet cover (front and back).  Add $.12(C) per pad for a 4-color process notepad imprint. See page 217 for standard imprint colors on the notepad. Orders with imprinted notepads must be placed in 500 piece minimums and increments. Full bleeds available. For art templates, visit product page at www.bicgraphic.com. ","BIC Digital Mini Mechanical Pencil: 2 1/4"" x 5/8"". Price includes a 4-color process imprint on a white surface. ",,,,,,,,,,,5 working days. Add 2 additional working days for imprinted notepads.,,"4"" x 3"" 50 Sheet Adhesive Notepad with BIC Digital Mini Mechanical Pencil 3 7/16"" x 4 7/16"" Booklet",,,,100,13 lbs (approx.),,129
PFBD,Die-Cut Flag Booklet ,,,5 x 25,125 adhesive paper flags in 5 bright colors|Artwork can be in a horizontal or vertical layout,"White, Black",,,"1-Color (1C): Price includes a 1-color, 1 location imprint. White imprint only on the black booklet.  For art templates, visit product page at www.bicgraphic.com.",,"1C: 2 1/4""W x 1 1/4""H",,,,,,,,,,5 working days. ,,"3 3/16"" x 2 3/8"" case with adhesive paper flags",,,,500,11 lbs (approx.),USA ^24,127
PFC,Flag Case,,,5 x 25,125 adhesive paper flags in 5 neon colors|Artwork can be in a horizontal or vertical layout,"White, Blue",,,"1-Color (1C): Price includes a 1-color, 1 location imprint. See page 220 for standard imprint colors. For art templates, visit product page at www.bicgraphic.com.",,"1C: 1 1/8""W x 2 1/4""H",,,,,,,,,,5 working days. ,,"2 1/8"" x 3 3/8"" plastic case with adhesive paper flags",,,,250,12 lbs (approx.),USA ^24,127
PFN,Adhesive Memo Notepad,,,3 x 25,"Holds 3"" x 3"" 25 sheet (yellow) adhesive notepad and 125 adhesive paper flags (25 each of 5 colors)|Artwork can be in a horizontal or vertical layout","Blue, Green, Red, Yellow",,,"Foil Stamp (FS): $50(G) set-up charge includes a 1-color, 1 location imprint on notebook cover. See page 220 for standard imprint colors. Imprints are not available on flags and notepad. For art templates, visit product page at www.bicgraphic.com. ",,,,,,,,,,,,5 working days. ,,"3 9/16"" x 3 7/8"" notebook with 3"" x 3"" 25 sheet (yellow) adhesive notepad and adhesive flags FS: 2""W x 2""H",,,,200,19 lbs (approx.),24,128
PG,BIC? Protrusion Grip?,,,,"Unique, soft protruding grip pads with  polished chrome?plated steel clip |Refillable Twist-style ballpoint |Black velour sleeve included ","Copper, Silver, Black, Blue",Choose 1 barrel color.  All include polished chrome-plated trim and clip.,,"Screen Printing (SP): Price includes a 1-color barrel imprint.  Laser Engraving (LE): Price includes 1 line of repeating copy or personalization on barrel. Gray colorfill included on silver finish only.  Add $.60(G) per pen for second location or personalization.  New Optional 330§ Laser Engraving: Barrel-1 1/2""W x 1 1/4""H;  $50(G) set-up charge. $.60(G) running charge per pen. PhotoFast Emblems: Clip-$2.50(G) each. Set-up charge for new orders only: $18.00(G).  See diagram for imprint area, location and number of colors.",,"SP: 1 1/8""W x 1/2""H (max. 1 color) ","LE: 1 1/2""W x 1/2""H ",,,Medium Point,Black,Gel Ink,Black,Gel ink option.  Add $.55(G) per pen.  Please allow additional working days on your order.,,5 working days.,,"11/16""W x 5 13/32""H",,,,100,7 lbs (approx.),24,91
PLB,Sheaffer? Prelude? Collection,Roller Ball,,,Over 3.5 miles of ballpoint write-out 22K gold plated trim |Sheaffer's Limited Lifetime Warranty |Packaged in Sheaffer's luxury gift box |Cartridge refills available |Stock cap slogans available (see page 205),Black Matte Finish with 22K Gold Plate Trim,,,"Laser Engraving (LE): Price includes 1 line of repeating copy or personalization on cap or barrel.  Add $.60(G) per pen for second location or personalization. Imprint defaults to cap unless otherwise specified.  PhotoFast Emblems: Clip-$2.50(G) each. Set-up charge for new orders only: $18.00(G).  See diagram for imprint area, location and number of colors.",,"LE: 1 1/4""W x 1/4""H 
Default","LE: 1 1/4""W x 1/4""H",,,Roller Ball,Black,,,,,5 working days.,,"5/8""W x 5 1/4""H",,,,5,3 lbs (approx.),24,102
